drug1,drug2,enzyme_overlap,target_overlap,pathway_overlap,transporter_overlap,side_effect_overlap,interaction,risk_score,severity
Nifedipine,Isavuconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Omeprazole,Erythromycin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Valsartan,Naratriptan,None,None,None,None,Dizziness,0,0.1683,LOW
Carvedilol,Alprazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Norfloxacin,Silodosin,None,None,None,None,None,0,0.014,LOW
Ofloxacin,Sotagliflozin,None,None,None,None,None,0,0.0777,LOW
Fluconazole,Telithromycin,CYP3A4 (inhibitor),None,None,P-glycoprotein (P-gp),QTc prolongation;Hepatotoxicity,1,0.642,HIGH
Naproxen,Budesonide,None,None,None,None,None,0,0.0308,LOW
Rabeprazole,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.544,HIGH
Terazosin,Desipramine,CYP2D6,None,None,P-glycoprotein (P-gp),Orthostatic hypotension,1,0.6406,HIGH
Fluoxetine,Temazepam,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5262,HIGH
Valsartan,Phenytoin,CYP2C9;CYP3A4,None,None,None,Dizziness,1,0.643,HIGH
Timolol,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1283,LOW
Meloxicam,Carbamazepine,CYP2C9,None,None,None,None,1,0.3911,MEDIUM
Moexipril,Etodolac,None,None,None,None,None,0,0.0378,LOW
Trandolapril,Dabigatran,None,None,None,None,None,0,0.0425,LOW
Formoterol,Amitriptyline,None,None,None,None,None,0,0.064,LOW
Pravastatin,Lacosamide,CYP3A4,None,None,None,None,1,0.4429,MEDIUM
Nisoldipine,Chlordiazepoxide,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.545,HIGH
Rosuvastatin,Captopril,None,None,None,None,None,0,0.0502,LOW
Atenolol,Isavuconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1111,LOW
Nabumetone,Empagliflozin,None,None,None,None,None,0,0.0526,LOW
Fluvastatin,Methylprednisolone,CYP3A4,None,None,None,None,1,0.3658,MEDIUM
Glimepiride,Valproate,CYP2C9,None,None,None,None,1,0.3719,MEDIUM
Ciprofloxacin,Frovatriptan,None,None,None,None,None,0,0.055,LOW
Liraglutide,Lixisenatide,Proteolytic degradation (endopeptidases),GLP-1 receptor,Incretin mimetic pathway,Not fully characterized (large peptides),Nausea;Pancreatitis;Thyroid C-cell tumor risk;Vomiting;Diarrhea,1,1.0,CRITICAL
Nicardipine,Prazosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.692,HIGH
Enalapril,Risperidone,None,None,None,None,None,0,0.0252,LOW
Chlorpropamide,Prednisone,None,None,None,None,Weight gain,1,0.149,LOW
Timolol,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Isavuconazole,Darunavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,0,0.278,MEDIUM
Diltiazem,Ibandronate,None,None,None,None,None,0,0.064,LOW
Azilsartan,Canagliflozin,None,None,None,BCRP,None,1,0.1,LOW
Naproxen,Furosemide,None,None,None,OAT1;OAT3,None,1,0.1,LOW
Quinapril,Nabumetone,None,None,None,None,None,0,0.0512,LOW
Esomeprazole,Cimetidine,None,None,Gastric acid secretion pathway,None,Headache,0,0.3133,MEDIUM
Levofloxacin,Eprosartan,None,None,None,None,None,0,0.023,LOW
Fondaparinux,Valproate,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5185,HIGH
Simvastatin,Candethartan,CYP3A4,None,None,OATP1B1;BCRP,None,1,0.5223,HIGH
Telmisartan,Eletriptan,None,None,None,None,Dizziness,0,0.1922,LOW
Dexlansoprazole,Vildagliptin,None,None,None,P-glycoprotein (P-gp),Headache,0,0.2306,LOW
Lansoprazole,Darunavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Fosinopril,Isavuconazole,None,None,None,None,None,0,0.0302,LOW
Valsartan,Azilsartan,CYP2C9;CYP3A4,Angiotensin II receptor type 1 (AT1),Renin-angiotensin-aldosterone system (RAAS),OATP1B1;BCRP,Hyperkalemia;Hypotension;Dizziness;Renal impairment,1,1.0,CRITICAL
Frovatriptan,Indapamide,None,None,None,None,None,0,0.0322,LOW
Levalbuterol,Clozapine,None,None,None,None,None,0,0.0225,LOW
Lamotrigine,Valproate,CYP2C9;CYP2C19;CYP3A4,Voltage-gated sodium channel (SCN1A/SCN5A),Neuronal excitability pathway,P-glycoprotein (P-gp),Dizziness;Nystagmus;Leucopenia;Stevens-Johnson syndrome;Ataxia,1,1.0,CRITICAL
Lisinopril,Triamcinolone,None,None,None,None,None,0,0.047,LOW
Levofloxacin,Metformin,None,None,None,MATE1,None,1,0.1439,LOW
Fluconazole,Imipramine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2634,MEDIUM
Chlordiazepoxide,Amitriptyline,None,None,None,P-glycoprotein (P-gp),Sedation,0,0.2511,MEDIUM
Irbesartan,Zoledronic acid,None,None,None,None,None,0,0.0291,LOW
Tolbutamide,Chlordiazepoxide,None,None,None,None,None,0,0.0498,LOW
Celecoxib,Canagliflozin,None,None,None,None,None,0,0.0617,LOW
Isavuconazole,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Benazepril,Imipramine,None,None,None,None,None,0,0.0404,LOW
Losartan,Valproate,CYP2C9;CYP3A4,None,None,None,Dizziness,1,0.6149,HIGH
Benazepril,Sotagliflozin,None,None,None,None,None,0,0.0601,LOW
Alendronate,Amitriptyline,None,None,None,None,None,0,0.0552,LOW
Atorvastatin,Fluoxetine,None,None,None,None,None,0,0.0142,LOW
Pitavastatin,Bisoprolol,None,None,None,None,None,0,0.0563,LOW
Propranolol,Dabigatran,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Propranolol,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Glipizide,Oxcarbazepine,CYP2C9,None,None,None,None,1,0.3625,MEDIUM
Ketoconazole,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Lopinavir,Fludrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1399,LOW
Trandolapril,Salmeterol,None,None,None,None,None,0,0.0266,LOW
Eprosartan,Naratriptan,None,None,None,None,Dizziness,1,0.1082,LOW
Budesonide,Amitriptyline,None,None,None,P-glycoprotein (P-gp),Weight gain,0,0.2382,LOW
Saquinavir,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Triamcinolone,Alprazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5047,HIGH
Fluvoxamine,Clomipramine,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.5968,HIGH
Metoprolol,Triazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Omeprazole,Chlordiazepoxide,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5719,HIGH
Candethartan,Lurasidone,CYP3A4,None,None,None,None,1,0.4046,MEDIUM
Isavuconazole,Phenytoin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Temazepam,Amitriptyline,None,None,None,P-glycoprotein (P-gp),Sedation,0,0.2789,MEDIUM
Clarithromycin,Telithromycin,CYP3A4 (inhibitor),50S ribosomal subunit (23S rRNA),Bacterial protein synthesis,P-glycoprotein (P-gp),Gastrointestinal distress;QTc prolongation;Hepatotoxicity;Ototoxicity,1,0.9122,CRITICAL
Ketorolac,Irbesartan,CYP2C9,None,None,None,None,1,0.4273,MEDIUM
Felodipine,Glimepiride,None,None,None,None,None,0,0.0404,LOW
Glipizide,Oxazepam,None,None,None,None,None,0,0.0641,LOW
Rabeprazole,Ofloxacin,None,None,None,None,None,0,0.02,LOW
Levofloxacin,Budesonide,None,None,None,None,None,0,0.0622,LOW
Simvastatin,Perindopril,None,None,None,None,None,0,0.0518,LOW
Budesonide,Dulaglutide,None,None,None,None,None,0,0.0575,LOW
Fluconazole,Ranitidine,None,None,None,None,None,0,0.0253,LOW
Chlorpropamide,Candethartan,CYP2C9,None,None,OATP1B1,None,1,0.4733,MEDIUM
Lacosamide,Clonazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5382,HIGH
Prednisone,Indapamide,None,None,None,None,None,0,0.0558,LOW
Glyburide,Ertugliflozin,None,None,None,None,None,0,0.0409,LOW
Formoterol,Quetiapine,None,None,None,None,None,0,0.0193,LOW
Moexipril,Carvedilol,None,None,None,None,None,0,0.0402,LOW
Lovastatin,Chlordiazepoxide,CYP3A4,None,None,None,None,1,0.4472,MEDIUM
Naproxen,Terazosin,None,None,None,None,None,0,0.0138,LOW
Glipizide,Diclofenac,CYP2C9,None,None,None,None,1,0.4159,MEDIUM
Erythromycin,Ranitidine,None,None,None,None,None,0,0.014,LOW
Rabeprazole,Carbamazepine,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5851,HIGH
Lovastatin,Brexpiprazole,CYP3A4,None,None,None,None,1,0.3543,MEDIUM
Diltiazem,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Torsemide,Liraglutide,None,None,None,None,None,0,0.0459,LOW
Oxazepam,Liraglutide,None,None,None,None,None,0,0.0654,LOW
Doxepin,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Isavuconazole,Hydrochlorothiazide,None,None,None,None,None,0,0.069,LOW
Indacaterol,Temazepam,None,None,None,None,None,0,0.0582,LOW
Fosinopril,Tamsulosin,None,None,None,None,None,0,0.0739,LOW
Azithromycin,Olodaterol,None,None,None,None,None,0,0.0339,LOW
Quinapril,Etidronate,None,None,None,None,None,0,0.0614,LOW
Metformin,Lopinavir,None,None,None,None,None,0,0.0709,LOW
Lisinopril,Clomipramine,None,None,None,None,None,0,0.0793,LOW
Nabumetone,Sitagliptin,None,None,None,None,None,0,0.034,LOW
Atorvastatin,Timolol,None,None,None,None,None,0,0.0735,LOW
Warfarin,Lacosamide,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5713,HIGH
Posaconazole,Hydrocortisone,None,None,None,P-glycoprotein (P-gp),None,0,0.1497,LOW
Captopril,Clarithromycin,None,None,None,None,None,0,0.0424,LOW
Edoxaban,Bumetanide,None,None,None,None,None,0,0.0391,LOW
Lovastatin,Felodipine,CYP3A4,None,None,None,Headache,1,0.5104,HIGH
Tolbutamide,Phenytoin,CYP2C9,None,None,None,None,1,0.4499,MEDIUM
Verapamil,Azithromycin,None,None,None,P-glycoprotein (P-gp),None,0,0.131,LOW
Empagliflozin,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Lansoprazole,Oxazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5934,HIGH
Ritonavir,Protriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.1173,LOW
Clevidipine,Metolazone,None,None,None,None,None,0,0.0164,LOW
Timolol,Zoledronic acid,None,None,None,None,None,0,0.0748,LOW
Oxcarbazepine,Doxazosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6006,HIGH
Phenytoin,Liraglutide,None,None,None,None,None,0,0.0609,LOW
Tolbutamide,Etodolac,CYP2C9,None,None,None,None,1,0.3766,MEDIUM
Propranolol,Nimodipine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Paroxetine,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1257,LOW
Fondaparinux,Vilanterol,None,None,None,None,None,0,0.0196,LOW
Hydrochlorothiazide,Alogliptin,None,None,None,None,None,0,0.0734,LOW
Nimodipine,Glyburide,None,None,None,None,None,0,0.0727,LOW
Atenolol,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1493,LOW
Captopril,Semaglutide,None,None,None,None,None,0,0.039,LOW
Indomethacin,Famotidine,None,None,None,None,None,0,0.0575,LOW
Nimodipine,Indacaterol,None,None,None,None,None,0,0.0627,LOW
Edoxaban,Clarithromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Azithromycin,Tipranavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,1,0.2661,MEDIUM
Nicardipine,Saquinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1097,LOW
Carbamazepine,Dulaglutide,None,None,None,None,None,0,0.066,LOW
Celecoxib,Alendronate,None,None,None,None,None,0,0.049,LOW
Rabeprazole,Torsemide,None,None,None,None,None,0,0.0266,LOW
Betamethasone,Hydrochlorothiazide,None,None,None,None,None,0,0.0329,LOW
Carbamazepine,Fludrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5064,HIGH
Fosinopril,Etidronate,None,None,None,None,None,0,0.014,LOW
Celecoxib,Lurasidone,None,None,None,None,None,0,0.0697,LOW
Eletriptan,Frovatriptan,CYP1A2;MAO-A,5-HT1D receptor;5-HT1B receptor,Serotonergic vasoconstriction / Trigeminal inhibition,P-glycoprotein (P-gp),Dizziness;Chest tightness;Medication overuse headache;Paresthesia;Flushing,1,0.9929,CRITICAL
Fondaparinux,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Clevidipine,Saxagliptin,None,None,None,P-glycoprotein (P-gp),Headache,0,0.2987,MEDIUM
Eprosartan,Ranitidine,None,None,None,None,Dizziness,0,0.1728,LOW
Rosuvastatin,Hydrocortisone,CYP3A4,None,None,None,None,1,0.3807,MEDIUM
Pravastatin,Ibuprofen,None,None,None,None,None,0,0.0273,LOW
Sotagliflozin,Ritonavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1365,LOW
Nimodipine,Sumatriptan,None,None,None,P-glycoprotein (P-gp),Dizziness;Flushing,0,0.2058,LOW
Losartan,Sumatriptan,None,None,None,None,Dizziness,1,0.1503,LOW
Vilanterol,Aripiprazole,None,None,None,None,None,0,0.0151,LOW
Pitavastatin,Metoprolol,None,None,None,None,None,0,0.0507,LOW
Ramipril,Prednisone,None,None,None,None,None,0,0.0475,LOW
Nebivolol,Amitriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5482,HIGH
Eprosartan,Dapagliflozin,None,None,None,BCRP,None,0,0.1,LOW
Nadolol,Levalbuterol,None,Beta-2 adrenergic receptor,None,None,None,0,0.1,LOW
Ranitidine,Triamcinolone,None,None,None,None,None,0,0.0404,LOW
Carvedilol,Triazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Diclofenac,Terazosin,None,None,None,None,None,0,0.0536,LOW
Edoxaban,Lopinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1234,LOW
Ibandronate,Dexamethasone,None,None,None,None,None,0,0.063,LOW
Citalopram,Cariprazine,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4885,MEDIUM
Fluvoxamine,Prednisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Sotagliflozin,Lorazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Atenolol,Chlordiazepoxide,None,None,None,P-glycoprotein (P-gp),None,1,0.109,LOW
Lisinopril,Delafloxacin,None,None,None,None,None,0,0.0719,LOW
Pantoprazole,Protriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.137,LOW
Nabumetone,Alprazolam,None,None,None,None,None,0,0.0261,LOW
Nifedipine,Warfarin,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4901,MEDIUM
Etidronate,Albuterol,None,None,None,None,None,0,0.0787,LOW
Almotriptan,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,0,0.1315,LOW
Posaconazole,Clomipramine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2744,MEDIUM
Esomeprazole,Atazanavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Moexipril,Exenatide,None,None,None,None,None,0,0.0258,LOW
Citalopram,Oxcarbazepine,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4869,MEDIUM
Fluoxetine,Olmesartan,None,None,None,None,None,0,0.0302,LOW
Nizatidine,Temazepam,None,None,None,None,None,0,0.0132,LOW
Quinapril,Alprazolam,None,None,None,None,None,0,0.0501,LOW
Diltiazem,Darunavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Ketorolac,Doxazosin,None,None,None,None,None,0,0.0362,LOW
Norfloxacin,Brexpiprazole,None,None,None,None,QTc prolongation,1,0.1736,LOW
Clozapine,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Escitalopram,Voriconazole,None,None,None,P-glycoprotein (P-gp),Nausea,0,0.2576,MEDIUM
Ibuprofen,Indapamide,None,None,None,OAT1;OAT3,None,0,0.1,LOW
Dapagliflozin,Ritonavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Carbamazepine,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Fidaxomicin,Saquinavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,0,0.2468,LOW
Nebivolol,Ofloxacin,None,None,None,None,None,0,0.0481,LOW
Olmesartan,Prednisone,CYP3A4,None,None,None,None,1,0.4494,MEDIUM
Nadolol,Nortriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4669,MEDIUM
Apixaban,Darunavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Ertugliflozin,Ziprasidone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Nicardipine,Clevidipine,CYP3A4,L-type voltage-gated calcium channel (CACNA1C),Calcium signaling pathway,P-glycoprotein (P-gp),Dizziness;Headache;Peripheral edema;Bradycardia (non-DHPs);Flushing,1,0.9375,CRITICAL
Fluoxetine,Albuterol,None,None,None,None,None,0,0.0715,LOW
Fosinopril,Lansoprazole,None,None,None,None,None,0,0.024,LOW
Felodipine,Gemifloxacin,None,None,None,None,None,0,0.0604,LOW
Simvastatin,Aripiprazole,CYP3A4,None,None,None,None,1,0.3936,MEDIUM
Gliclazide,Voriconazole,None,None,None,None,None,0,0.0411,LOW
Fluvastatin,Clonazepam,CYP3A4,None,None,None,None,1,0.4074,MEDIUM
Captopril,Salmeterol,None,None,None,None,None,0,0.0112,LOW
Verapamil,Exenatide,None,None,None,None,None,0,0.0447,LOW
Ramipril,Atenolol,None,None,None,None,None,0,0.0282,LOW
Delafloxacin,Fidaxomicin,None,None,None,None,QTc prolongation,1,0.1322,LOW
Clevidipine,Silodosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6715,HIGH
Posaconazole,Fludrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Naratriptan,Oxcarbazepine,None,None,None,P-glycoprotein (P-gp),Dizziness,0,0.2672,MEDIUM
Indomethacin,Warfarin,CYP2C9,None,None,None,None,1,0.4272,MEDIUM
Nicardipine,Nabumetone,None,None,None,None,None,0,0.0109,LOW
Olodaterol,Lorazepam,None,None,None,None,None,0,0.0313,LOW
Indinavir,Oxcarbazepine,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Valproate,Torsemide,None,None,None,None,None,0,0.0115,LOW
Formoterol,Aripiprazole,None,None,None,None,None,0,0.023,LOW
Metformin,Alendronate,Not metabolized,None,None,None,None,1,0.4451,MEDIUM
Fosinopril,Rivaroxaban,None,None,None,None,None,0,0.01,LOW
Zoledronic acid,Triazolam,None,None,None,None,None,0,0.0103,LOW
Nebivolol,Glyburide,None,None,None,None,None,0,0.0149,LOW
Trandolapril,Paliperidone,None,None,None,None,None,0,0.0727,LOW
Atenolol,Methylprednisolone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Vilanterol,Hydrochlorothiazide,None,None,None,None,Hypokalemia,1,0.159,LOW
Bumetanide,Semaglutide,None,None,None,None,None,0,0.0253,LOW
Posaconazole,Almotriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Gliclazide,Tipranavir,None,None,None,None,None,0,0.0246,LOW
Chlorpropamide,Bumetanide,None,None,None,None,None,0,0.0797,LOW
Trandolapril,Citalopram,None,None,None,None,None,0,0.0578,LOW
Midazolam,Hydrochlorothiazide,None,None,None,None,None,0,0.057,LOW
Dexamethasone,Budesonide,CYP3A4,Glucocorticoid receptor,Glucocorticoid receptor signaling pathway,P-glycoprotein (P-gp),Hyperglycemia;Cushings features;Osteoporosis;Immunosuppression;Weight gain,1,0.9781,CRITICAL
Propranolol,Lixisenatide,None,None,None,None,None,0,0.0481,LOW
Olmesartan,Metolazone,None,None,None,None,None,0,0.0243,LOW
Paroxetine,Zoledronic acid,None,None,None,None,None,0,0.0137,LOW
Dapagliflozin,Hydrocortisone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Dabigatran,Alprazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4776,MEDIUM
Dabigatran,Tipranavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Nicardipine,Losartan,CYP3A4,None,None,None,Dizziness,1,0.5963,HIGH
Metoprolol,Almotriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Labetalol,Imipramine,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4939,MEDIUM
Glipizide,Eletriptan,None,None,None,None,None,0,0.0219,LOW
Naratriptan,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1252,LOW
Glyburide,Ibuprofen,CYP2C9,None,None,None,None,1,0.4107,MEDIUM
Atazanavir,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,0,0.1164,LOW
Sotagliflozin,Ranitidine,None,None,None,None,None,0,0.0446,LOW
Alendronate,Triamcinolone,None,None,None,None,None,0,0.0642,LOW
Clonazepam,Metolazone,None,None,None,None,None,0,0.0299,LOW
Moexipril,Diazepam,None,None,None,None,None,0,0.0479,LOW
Ertugliflozin,Zonisamide,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Levalbuterol,Quetiapine,None,None,None,None,None,0,0.0778,LOW
Lansoprazole,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1463,LOW
Bisoprolol,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1198,LOW
Nabumetone,Dexamethasone,None,None,None,None,None,0,0.0142,LOW
Bisoprolol,Felodipine,None,None,None,P-glycoprotein (P-gp),None,0,0.1465,LOW
Atorvastatin,Albuterol,None,None,None,None,None,0,0.0474,LOW
Enalapril,Sumatriptan,None,None,None,None,None,0,0.0489,LOW
Paroxetine,Naproxen,None,None,None,None,None,0,0.0454,LOW
Ciprofloxacin,Eletriptan,None,None,None,None,None,0,0.0645,LOW
Simvastatin,Brexpiprazole,CYP3A4,None,None,None,None,1,0.3791,MEDIUM
Naratriptan,Hydrocortisone,None,None,None,P-glycoprotein (P-gp),None,0,0.1378,LOW
Atenolol,Levofloxacin,None,None,None,None,None,0,0.0681,LOW
Citalopram,Ketorolac,None,None,None,None,None,0,0.0328,LOW
Quinapril,Risperidone,None,None,None,None,None,0,0.0771,LOW
Doxazosin,Midazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4733,MEDIUM
Ketorolac,Ketoconazole,None,None,None,None,None,0,0.0227,LOW
Felodipine,Levalbuterol,None,None,None,None,None,0,0.0729,LOW
Irbesartan,Eprosartan,CYP2C9;CYP3A4,Angiotensin II receptor type 1 (AT1),Renin-angiotensin-aldosterone system (RAAS),OATP1B1;BCRP,Hyperkalemia;Hypotension;Dizziness;Renal impairment,1,1.0,CRITICAL
Saxagliptin,Exenatide,None,None,None,None,None,0,0.0342,LOW
Isradipine,Lixisenatide,None,None,None,None,None,0,0.05,LOW
Frovatriptan,Oxazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1015,LOW
Itraconazole,Risedronate,None,None,None,None,None,0,0.0313,LOW
Lisinopril,Amitriptyline,None,None,None,None,None,0,0.0515,LOW
Clarithromycin,Tamsulosin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Piroxicam,Triazolam,None,None,None,None,None,0,0.0393,LOW
Edoxaban,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1106,LOW
Fluvastatin,Empagliflozin,None,None,None,BCRP,None,1,0.1196,LOW
Nisoldipine,Midazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4629,MEDIUM
Enalapril,Eprosartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,1,0.3837,MEDIUM
Indomethacin,Pamidronate,None,None,None,None,None,0,0.079,LOW
Diltiazem,Famotidine,None,None,None,None,Dizziness;Headache,0,0.1536,LOW
Telmisartan,Vildagliptin,None,None,None,None,None,0,0.0261,LOW
Desipramine,Aripiprazole,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.702,HIGH
Quinapril,Sotagliflozin,None,None,None,None,None,0,0.06,LOW
Metoprolol,Apixaban,None,None,None,P-glycoprotein (P-gp),None,0,0.1224,LOW
Erythromycin,Lopinavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,0,0.2819,MEDIUM
Enalapril,Irbesartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,1,0.3514,MEDIUM
Glipizide,Zolmitriptan,None,None,None,None,None,0,0.0454,LOW
Carbamazepine,Brexpiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.498,MEDIUM
Carvedilol,Lopinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Simvastatin,Edoxaban,CYP3A4,None,None,BCRP,None,1,0.5122,HIGH
Clarithromycin,Olanzapine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2332,LOW
Prednisone,Lixisenatide,None,None,None,None,None,0,0.045,LOW
Fluoxetine,Sumatriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Escitalopram,Carbamazepine,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5121,HIGH
Trandolapril,Lorazepam,None,None,None,None,None,0,0.029,LOW
Metoprolol,Losartan,None,None,None,None,None,0,0.0588,LOW
Glimepiride,Terazosin,None,None,None,None,None,0,0.0259,LOW
Chlorpropamide,Tipranavir,None,None,None,None,None,0,0.0524,LOW
Fluoxetine,Frovatriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.149,LOW
Dexlansoprazole,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1245,LOW
Fluvoxamine,Darunavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1339,LOW
Captopril,Alogliptin,None,None,None,None,None,0,0.029,LOW
Almotriptan,Midazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1061,LOW
Timolol,Rivaroxaban,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Amlodipine,Lorazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4735,MEDIUM
Enalapril,Ketorolac,None,None,None,None,None,0,0.0669,LOW
Irbesartan,Sitagliptin,None,None,None,None,None,0,0.0354,LOW
Carvedilol,Fluconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1298,LOW
Zonisamide,Alfuzosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6945,HIGH
Escitalopram,Risedronate,None,None,None,None,None,0,0.0506,LOW
Doxazosin,Diazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5246,HIGH
Hydrocortisone,Indapamide,None,None,None,None,None,0,0.071,LOW
Chlordiazepoxide,Liraglutide,None,None,None,None,None,0,0.0287,LOW
